ID,Format,Topic,Difficulty,Question,Answer,Used,Freshness,ID Search,Answer Search,,,,,,,,,,,,,,,,,,,,,,
Q1146,Open,Sports/Games,1,Which tennis star surpassed Margaret Court’s Grand Slam singles record in 2017?,Serena Williams,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1147,Open,STEM,0,What metal has the highest melting point (element)?,Tungsten,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1148,Open,STEM,3,How many levels does the [Enhanced Fujita scale or] EF Scale for Tornados have?,"6 (0-5, INCLUDING 0)",Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1149,Open,STEM,2,"Commonly found in Australia, what precious stone is the birthstone for October?",Opal,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1150,Open,STEM,2,What chemical element is frequently added to table salt to prevent goiters and other medical conditions?,Iodine,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1151,Open,STEM,2,"Known in many languages as ""Rontgen Radiation"", what radiation has a wavelength shorter than UV and longer than Gamma radiation?",X-ray,March 3 26,27,Not Found,March 3 26,,,,,,,,,,,,,,,,,,,,,,
Q1152,Open,STEM,4,What operating system developed at Bell Labs in the late 1960s/early 1970s underpins many modern OSes?,Unix,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1153,Open,STEM,2,What was the first mammal cloned from an adult somatic cell in 1996?,Sheep (Dolly),Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1154,Open,STEM,4,"Which elementary particle was confirmed at CERN in 2012, validating the Standard Model’s mechanism for mass?",Higgs Boson [both parts required],Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1155,Open,STEM,4,What 2012 gene-editing technology uses a programmable bacterial enzyme to cut DNA at specific sites?,CRISPR (CRISPR-Cas9),Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1156,Open,STEM,3,"Do electrons flow from Positive to Negative, or Negative to Positive?",Negative to Positive,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1157,Open,STEM,2,"What particle physics facility near Geneva completed its first major run in 2012, leading to the Higgs boson discovery?",Large Hadron Collider,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1158,Open,STEM,1,What gas makes up about 78% of Earth’s atmosphere?,Nitrogen or N₂,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1159,Open,STEM,3,What part of the human brain is primarily responsible for balance and coordination?,Cerebellum,March 3 26,27,Not Found,March 3 26,,,,,,,,,,,,,,,,,,,,,,
Q1160,Open,STEM,3,What type of bond involves the sharing of electron pairs between atoms?,Covalent Bond,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1161,Open,STEM,2,What is the scientific term for water changing from a solid directly to a gas?,Sublimation,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1162,Open,STEM,1,Which vitamin is produced by human skin when exposed to sunlight?,Vitamin D,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1163,Multi,US,5,"Which of these was NOT a member of the ""Seven Sisters"": Radcliffe, Bryn Mawr, Vassar, or Wesleyan",Wesleyan,March 3 26,27,Not Found,March 3 26,,,,,,,,,,,,,,,,,,,,,,
Q1164,T/F,US,2,"According to the National Park Service, which site received more visitors in 2024: Great Smoky Mountains National Park or the Blue Ridge Parkway?",Blue Ridge PKWY,Feb 3 26,31,Not Found,Feb 3 26,,,,,,,,,,,,,,,,,,,,,,
Q1165,Multi,US,4,"Which city's zoo has the features the most animal species: Omaha, San Diego, St Louis, or Bronx/NYC?",Omaha,March 3 26,27,Not Found,March 3 26,,,,,,,,,,,,,,,,,,,,,,
Q1166,Open,States,4,According to NOAA which [US] state had the [highest recorded] rainfall in 2024?,Louisiana,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1167,Open,US,2,Smokey the Bear is the iconic mascot of which US Federal Agency?,US Forestry Service,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1168,Open,States,2,"Which state has the largest state house, with 400 members for a population just over 1 million?",New Hampshire,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1169,Open,US,2,"Known for his work to modernize the automotive safety industry, what political activist and lawyer ran for President 4 times?",Ralph Nader,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1170,T/F,US,2,"What is the more common first name among US Presidents, John or James?",James,Not Found,Fresh,Aug 4 26,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1171,Open,US,2,"Also known as the Vieux Carré [voh care a], what is the oldest neighborhood in New Orleans?",The French Quarter,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1172,T/F,US,2,True or False: the Golden Gate bridge connects San Franciso to Oakland.,False,March 17 26,25,Not Found,March 17 26,,,,,,,,,,,,,,,,,,,,,,
Q1173,T/F,US,4,Which building was completed first: the Space Needle in Seattle or the Millenium Arch in St. Louis?,The Space Needle,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1174,Open,US,3,Which 1911 factory fire in New York City led to major workplace safety reforms?,Triangle Shirtwaist Fire,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1175,Open,US,4,Which 18th-century rebellion over a federal tax prompted President Washington to personally lead militia forces to suppress it?,The Whiskey Rebellion,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1176,Open,States,3,Which U.S. state contains the most active volcanoes?,Alaska,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1177,Open,US,1,What 1969 music festival in upstate New York became a symbol of the counterculture era?,Woodstock,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1178,Open,US,4,What annual event first held in April 1970 is widely seen as launching the modern environmental movement?,Earth Day,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1179,Open,US,2,Which Houston-based energy company collapsed in 2001 amid an accounting scandal?,Enron,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1180,Open,US,3,Which 2010 event caused the largest marine oil spill in U.S. history?,Deepwater Horizon,July 7 26,9,Not Found,July 7 26,,,,,,,,,,,,,,,,,,,,,,
Q1181,Multi,US,3,"Which city was founded first: Chicago IL, Columbus OH, or Nashville TN?",Nashville TN,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1182,Open,US,3,"Queens, New York is named for the queen of which country?",England,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1183,Open,Virginia,5,"Lane Stadium is named for Edward Hudson Lane, a VPI graduate and founder of a business that produced what clothing storage item?",Cedar Chest,May 12 26,17,Not Found,May 12 26,,,,,,,,,,,,,,,,,,,,,,
Q1184,Open,Virginia,2,What battle in 1781 effectively ended the American Revolutionary War and took place in Virginia?,Yorktown,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1185,T/F,Virginia,4,Were more or fewer than 6 U.S. presidents were born in Virginia?,More (8),Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1186,Open,Virginia,2,What is the largest city by population in Virginia?,VA Beach,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1187,Open,Virginia,5,What is the name of either Virginia’s state flower or tree?,Dogwood/American Dogwood,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1188,Open,World,3,How many timezones does China have?,One (1),Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1189,Open,World,2,"Davis, Pacific, Amazon, and Mountain are all kinds of what?",Timezones,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1190,T/F,World,3,Was the EU formed before or after 1994?,Before,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1191,Open,World,5,What 1998 accord helped end most of the violence of the Troubles in Northern Ireland?,Good Friday or Belfast Agreement,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1192,Open,World,3,Which 1997 treaty set binding greenhouse-gas reduction targets for many industrialized nations?,Kyoto Protocol,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1193,Open,World,1,Which skyscraper that opened in 2010 in Dubai became (and remains) the world’s tallest building?,Burj Khalifa,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1194,Open,World,2,What is the colloquial name for the U.K. referendum in 2016 resulted in the decision to leave the European Union?,Brexit,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1195,Open,Spooky,5,Which Spanish painter’s gruesome “Black Paintings” series includes the image of Saturn devouring his child?,Francisco Goya,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1196,Open,Spooky,3,Which Swiss illustrator's designs were the inspiration behind Alien & many metal album covers?,H.R. Giger,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1197,Open,Spooky,2,What Gothic architectural element of a stone waterspout carved as a monster doubles as a supernatural icon on cathedrals?,Gargoyle,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1198,Open,Spooky,4,What medieval motif shows skeletons leading people of all ranks in a dance toward the grave?,Danse Macabre,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1199,Open,Spooky,2,"What 1999 horror film can be poorly described as ""3 College film students lose a map and die because none of them learned how to camp""
",The Blair Witch Project,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1200,Open,Spooky,3,"What 2015 Film can be poorly described as ""a girl falsely accused of crimes by her mother turns to a friendly goat for help"" ",The VVitch (The Witch),Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1201,Open,Spooky,2,"What 1980 film can be poorly described as ""an aspiring writer realizes he might be a better lumberjack than author after a long ski trip with his family""",The Shining,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1202,Open,Spooky,5,"Which British studio revived classic monsters like Dracula and Frankenstein in vivid color during the 1950s, 60s, and 70s?",Hammer Films (Hammer Horror),Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1203,Open,Spooky,4,"Before the MPAA Rating System existed, what industry code censored depictions of sexual transgression and horror excess in early American cinema?",The Hays Code,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1204,Open,Spooky,1,What Mexican tradition builds ofrendas to welcome returning souls with marigolds and sugar skulls?,Día de los Muertos,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1205,Open,Spooky,3,The Jack-O-Latern originally referred to what kind of carved vegetable?,Turnip,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1206,Open,Spooky,2,What Caribbean Religion blends Catholic saints with African deities?,Voodoo,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1207,Open,Spooky,2,Which Wallachian prince inspired aspects of the Dracula legend through his brutal reputation?,Vlad the Impaler,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1208,Open,Spooky,3,Jack the Ripper was active in the 1880s in which London district?,Whitechapel,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1209,Open,Spooky,2,What Russian mystic’s influence at court and mysterious death have spawned enduring rumors and legends?,Rasputin,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1210,Open,Spooky,4,What mysterious monster was supposedly created by a Rabbi from the clay from the banks of the Vltava River in Prague?,Golem (the Golem of Prague),Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1211,Open,Spooky,4,Which Sherlock Holmes mystery strands characters on the Devon moor with a spectral animal stalking a cursed family?,The Hound of the Baskervilles,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1212,Open,Spooky,2,What is the name of the town in Maine where Stephen King's IT and other novels take place?,Derry,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1213,T/F,Spooky,4,Agatha or Arthur? The Man with the Twisted Lip,Arthur Conan Doyle,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1214,T/F,Spooky,4,Agatha or Arthur? Peril at End House,Agatha Christie,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1215,Open,Spooky,3,What nocturnal Latin American cryptid is blamed for bite wounds in livestock?,Chupacabra,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1216,Open,Spooky,2,What séance device uses a heart-shaped pointer to spell messages on a board?,Ouija Board,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1217,Open,Spooky,3,What German word is used for a ghostly duplicate of yourself?,Doppelganger,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1218,Open,Spooky,5,What practice seeks visions by gazing into reflective media like obsidian or dark glass?,Scrying,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1219,Open,Spooky,3,Which tarot card is popularly misread as doom but more often signals transformation?,Death,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1220,Open,Spooky,3,What five-pointed shape is traced to invoke or banish in Western ritual practice?,Pentagram,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1221,Open,Spooky,5,What touchless electronic instrument wails through many classic sci-fi and horror soundtracks?,Theremin,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1222,Open,Spooky,5,What term names a short repeating figure—like the two-note menace in Jaws—that builds tension?,Ostinato/Leitmotif,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1223,Open,Spooky,2,What 1973 horror classic was filmed in Georgetown?,The Exorcist,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1224,Open,Spooky,4,How did the headless Horseman in the short story The Legend of Sleepy Hollow lose his head?,Cannonball,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1225,Open,Spooky,3,What kind of walking corpse is central to Haitian folklore and later horror movies?,Zombie,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1226,Open,Spooky,4,"What 2002 movie can be poorly described as ""America's least funny home video goes viral resulting in the death of several teens""",The Ring,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1227,Open,Spooky,3,"What 2017 moive can be poorly described as ""The TSA successfully busts an illegal, underground brain surgery ring run by a league of concerned voters""",Get Out,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1228,Open,Spooky,,Which bestselling horror author survived a near-fatal roadside accident in 1999 and later bought the rights to the vehicle that hit him so it could be destroyed?,Stephen King,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1229,Open,Spooky,3,What U.S. state produces the most pumpkins each year?,Illinois,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1230,Open,States,4,Which state contains the geographic center of the contiguous United States?,Kansas,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1231,Open,States,2,What state has the highest average elevation of any U.S. state?,Colorado,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1232,Open,States,3,"Mammoth Cave, the world's largest cave system, is located in which state?",Kentucky,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1233,Open,States,2,Which state is the only to NOT have a rectangular or square shaped flag?,Ohio,April 14 26,21,Not Found,April 14 26,,,,,,,,,,,,,,,,,,,,,,
Q1234,Open,States,3,What state is home to the largest island in the Contiguous U.S.?,New York (Long Island),Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1235,Open,States,5,The town of Intercourse is found in which state?,Pennsylvania,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1236,Open,States,2,"The first public beach in the U.S., Revere Beach, opened in which state?",Massachussetts,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1237,Open,States,3,Which state is the least populous in the U.S.?,Wyoming,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1238,Open,States,2,Which state has the largest freshwater coastline?,Michigan,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1239,Open,States,2,Saguaro National Park is in which state?,Arizona,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1240,Open,States,2,The only royal palace on U.S. soil is in which state?,Hawaii,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1241,Open,States,4,Which state is the only one that divides itself into parishes instead of counties?,Louisiana,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1242,Open,States,4,The town named Truth or Consequences is in which state?,New Mexico,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1243,Open,States,4,Which state is nicknamed the Beehive State?,Utah,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1244,Open,States,2,Which state was the first to ratify the U.S. Constitution?,Delaware,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1245,Open,States,2,What state produced the most Corn in 2024?,Iowa,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1246,Open,States,2,Which state’s flag features the Big Dipper and the North Star?,Alaska,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1247,Open,States,3,"What is the flattest state: Indiana, North Dakota, Florida, or Texas?",Florida,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1248,Multi,States,4,"Which of these states wasn't purchased (either partially or completely): Florida, Lousiana, Alaska, or Oregon? ",Oregon,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1249,Open,States,3,"The world's first Skyscraper, the Home Insurance Building, was built in which state?",Illinois,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1250,Open,States,1,Fort Knox is located in which state?,Kentucky,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1251,Open,States,1,What state did the Wright Brothers complete their first powered flight in?,North Carolina,March 3 26,27,Not Found,March 3 26,,,,,,,,,,,,,,,,,,,,,,
Q1252,Open,States,2,What state are the Wright Brothers from?,Ohio,April 14 26,21,Not Found,April 14 26,,,,,,,,,,,,,,,,,,,,,,
Q1253,Open,States,1,Which state has both the lowest point and highest mountain in the contiguous U.S.?,California,March 3 26,27,Not Found,March 3 26,,,,,,,,,,,,,,,,,,,,,,
Q1254,Open,States,2,What state is the only one that grows coffee commercially?,Hawaii,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1255,Open,States,1,What state produces the most potatoes?,Idaho,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1256,Open,States,2,What state hosts the nation's first presidential caucus every 4 years?,Iowa,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1257,Open,States,2,"The first shots of the American Revolution were fired in Lexington and Concord, located in which state?",Massachussetts,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1258,Open,States,4,Hoover Dam sits on the border between Arizona and which other state?,Nevada,March 17 26,25,Not Found,March 17 26,,,,,,,,,,,,,,,,,,,,,,
Q1259,Open,States,2,This state’s motto “Live Free or Die” appears on all its license plates.,New Hampshire,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1260,Open,States,3,The first organized baseball game and the first boardwalk both took place in which atlantic state?,New Jersey,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1261,Open,States,4,The Erie Canal connected the Hudson River to the Great Lakes in which state?,New York,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1262,Open,States,2,Which New England state was the first to declare independance from England?,Rhode Island,July 7 26,9,Not Found,July 7 26,,,,,,,,,,,,,,,,,,,,,,
Q1263,Open,States,1,What state produces the most cheese?,Wisconsin,June 9 26,13,Not Found,June 9 26,,,,,,,,,,,,,,,,,,,,,,
Q1264,Open,States,3,"What state has more than a million businesses registered in it, outnumbering it's actual number of residents?",Delaware,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1265,Open,States,2,What state is the only one to have a single syllable in its name?,Maine,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1266,Open,States,4,This state shares the longest stretch of land border with Canada of any contiguous U.S. state.,Montana,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1267,Multi,States,3,"Which current state isn't along the historic route of the Oregon Trail: Kansas, Colorado, Wyoming, or Idaho?",Colorado,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1268,Open,States,2,The first computer (ENIAC) was developed at a university in this state in 1946.,Pennsylvania,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1269,Open,States,3,Vidalia Onions are which State's official vegetable?,Georgia,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1270,Multi,States,2,"Which state doesn't feature the Northern Cardinal as their state bird: North Carolina, Virginia, Indiana, or Tennessee? ",Tennessee,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1271,Open,States,4,"What 2002 movie can be poorly described as ""A woman takes a break from her fancy New York life to divorce a guy she accidentally married during a thunderstorm""",Sweet Home Alabama,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1272,Open,States,4,Napoleon Dynamite is both set and filmed in which western state?,Idaho,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1273,Open,States,3,"What 1989 film can be poorly described as ""A father and son reconcile their differences by taking a blimp ride in Europe, visiting Venice, solving riddles, and getting drunk in Jordan""",Indiana Jones and the Last Crusade,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1274,Open,Poorly Described Movie,5,"What 2008 film can be poorly described as ""The trinity nuclear test makes a father reconsider his relationship with his Son, the US Government, Calendars, and Aliens""",Indiana Jones and the Kingdom of the Crystal Skull,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1275,Open,Poorly Described Movie,3,"What 1981 film can be poorly described as ""a rouge history teacher destroys multiple UNESCO world heritage sites in order to find a magic box he thinks is bogus""",Raiders of the Lost Ark,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1276,Open,States,4,"What 1974 film can be poorly described as ""a local lumberjack and skin-care enthusiast, caring for his elderly parents and family, is forced to defend his home from a rowdy group of teens. "" ",The Texas Chainsaw Massacre,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1277,Open,States,2,Which state is the only one that has a capital city made up of three words?,Utah (Salt Lake City),Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1278,Open,States,3,What state is the only to have a coastline on both the Atlantic Ocean and a Great Lake?,New York,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1279,T/F,States,1,Which state has more miles of coastline according to NOAA? North or South Carolina?,North Carolina,March 3 26,27,Not Found,March 3 26,,,,,,,,,,,,,,,,,,,,,,
Q1280,Open,States,0,The first significant gold rush in the United States occured in 1799 in which state?,North Carolina,March 3 26,27,Not Found,March 3 26,,,,,,,,,,,,,,,,,,,,,,
Q1281,Open,Biology/Zoology,3,What mammal has the highest blood pressure due to the height of its heart relative to its head?,Giraffe,March 24 26,24,Aug 4 26,March 24 26,,,,,,,,,,,,,,,,,,,,,,
Q1282,Open,Fashion,2,Which Italian designer is credited with creating the first widely recognized designer logo T-shirt?,Giorgio Armani,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1283,Open,High Art,1,Which artist painted the ceiling of the Sistine Chapel?,Michelangelo,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1284,Multi,States,1,Which U.S. state is known as the “Land of 10000 Lakes”?,Minnesota,March 3 26,27,Not Found,March 3 26,,,,,,,,,,,,,,,,,,,,,,
Q1285,Multi,Linguistics,3,The Welsh language belongs to which language family?,Celtic,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1286,Open,Music,1,Which classical composer wrote the “Moonlight Sonata”?,Ludwig von Beethoven,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1287,Open,Religion/Myth,2,What mythical creature is half-eagle and half-lion?,Griffin,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1288,Open,Sports/Games,2,In which sport would you perform a “double axel”?,Figure Skating,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1289,Multi,STEM,1,What gas makes up the majority of Earth's atmosphere?,Nitrogen,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1290,Open,US,1,Which U.S. landmark was gifted by France in 1886?,The Statue of Liberty,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1291,Multi,World,3,Which Asian country is known for having the world’s longest continuous monarchy?,Japan,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1292,Open,Biology/Zoology,2,What organ do fish use to extract oxygen from water?,Gills,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1293,Multi,Biology/Zoology,3,"Which animal has the strongest bite force—Lion, Hyena, Crocodile, or Bear?",Crocodile,Feb 3 26,31,Not Found,Feb 3 26,,,,,,,,,,,,,,,,,,,,,,
Q1294,T/F,Biology/Zoology,1,True or False: All mammals give live birth.,FALSE,March 17 26,25,Not Found,March 17 26,,,,,,,,,,,,,,,,,,,,,,
Q1295,Open,Biology/Zoology,5,What is the scientific term for animals that maintain a stable internal body temperature?,Homeotherms,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
Q1296,Open,Biology/Zoology,3,What pigment gives plants their green color?,Chlorophyll,Not Found,Fresh,Not Found,Not Found,,,,,,,,,,,,,,,,,,,,,,
